# contig	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
k99_100167	classified	based on 9/9 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.72;0.72;0.72;0.72;0.72	Bacteria: 1.00	Bacteroidetes: 0.72	Bacteroidia: 0.72	Bacteroidales: 0.72	not classified	not classified	not classified
k99_100214	classified	based on 10/10 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.94;0.94;0.94;0.94;0.94;0.94;0.94	Bacteria: 1.00	Bacteroidetes: 0.94	Bacteroidia: 0.94	Bacteroidales: 0.94	Bacteroidaceae: 0.94	Bacteroides: 0.94	not classified
k99_100485	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Bacteroidaceae: 1.00	Bacteroides: 0.98	not classified
k99_100507	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_100609	classified	based on 7/7 ORFs	1;131567;2;1783257;74201;203494;48461;1647988;239934*	1.00;1.00;1.00;0.94;0.94;0.94;0.94;0.94;0.94	Bacteria: 1.00	Verrucomicrobia: 0.94	Verrucomicrobiae: 0.94	Verrucomicrobiales: 0.94	Akkermansiaceae: 0.94	Akkermansia*: 0.94	not classified
k99_100693	unclassified	hits not found in taxonomy files
k99_10092	classified	based on 2/2 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	not classified	not classified
k99_100942	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.68;0.68;0.68;0.68;0.68;0.68;0.68	Bacteria: 1.00	Bacteroidetes: 0.68	Bacteroidia: 0.68	Bacteroidales: 0.68	Bacteroidaceae: 0.68	Bacteroides: 0.68	not classified
k99_101158	classified	based on 8/8 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.69	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Lachnospiraceae: 1.00	Roseburia: 0.69	not classified
k99_10118	classified	based on 3/3 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_101350	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 0.91	not classified
k99_101421	classified	based on 6/6 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838;165179	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.85	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 1.00	Prevotella copri: 0.85
k99_101604	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.84;0.84;0.84;0.84;0.84	Bacteria: 1.00	Bacteroidetes: 0.84	Bacteroidia: 0.84	Bacteroidales: 0.84	not classified	not classified	not classified
k99_101743	classified	based on 5/5 ORFs	1;131567;2;1783272;201174;84998	1.00;1.00;1.00;0.63;0.63;0.63	Bacteria: 1.00	Actinobacteria: 0.63	Coriobacteriia: 0.63	not classified	not classified	not classified	not classified
k99_102016	classified	based on 2/3 ORFs	1;131567;2;1783272;1239;186801;186802;541000;216851;259314;1262896	1.00;1.00;1.00;1.00;1.00;0.75;0.75;0.75;0.75;0.75;0.75	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 0.75	Clostridiales: 0.75	Ruminococcaceae: 0.75	Faecalibacterium: 0.75	Faecalibacterium sp. CAG:1138: 0.75
k99_10207	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_102442	classified	based on 5/7 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.94;0.94;0.94;0.94;0.94	Bacteria: 1.00	Bacteroidetes: 0.94	Bacteroidia: 0.94	Bacteroidales: 0.94	not classified	not classified	not classified
k99_102458	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96;0.96;0.96	Bacteria: 1.00	Bacteroidetes: 0.96	Bacteroidia: 0.96	Bacteroidales: 0.96	Bacteroidaceae: 0.96	Bacteroides: 0.96	not classified
k99_102644	classified	based on 6/6 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.79;0.79	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Bacteroidaceae: 0.79	Bacteroides: 0.79	not classified
k99_102713	classified	based on 7/15 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.97;0.97;0.97;0.61;0.61	Bacteria: 1.00	Bacteroidetes: 0.97	Bacteroidia: 0.61	Bacteroidales: 0.61	not classified	not classified	not classified
k99_102782	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_10280	classified	based on 6/6 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	not classified	not classified	not classified
k99_103083	classified	based on 11/11 ORFs	1;131567;2;1783272;201174;84998;84999;84107;102106	1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.94;0.94	Bacteria: 1.00	Actinobacteria: 1.00	Coriobacteriia: 1.00	Coriobacteriales: 1.00	Coriobacteriaceae: 0.94	Collinsella: 0.94	not classified
k99_103086	classified	based on 7/7 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Rikenellaceae: 1.00	Alistipes: 1.00	not classified
k99_103151	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 1.00	not classified
k99_103211	classified	based on 13/13 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759;28117	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.55	Bacteria: 1.00	Bacteroidetes: 0.97	Bacteroidia: 0.97	Bacteroidales: 0.97	Rikenellaceae: 0.97	Alistipes: 0.97	Alistipes putredinis: 0.55
k99_103335	classified	based on 6/6 ORFs	1;131567;2;1783257;74201;203494;48461;1647988;239934*	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Verrucomicrobia: 1.00	Verrucomicrobiae: 1.00	Verrucomicrobiales: 1.00	Akkermansiaceae: 1.00	Akkermansia*: 1.00	not classified
k99_103381	classified	based on 3/3 ORFs	1;131567;2;1783272;201174;1760;85004;31953;1678	1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.70;0.70	Bacteria: 1.00	Actinobacteria: 1.00	Actinobacteria: 1.00	Bifidobacteriales: 1.00	Bifidobacteriaceae: 0.70	Bifidobacterium: 0.70	not classified
k99_103384	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97	Bacteria: 1.00	Bacteroidetes: 0.97	Bacteroidia: 0.97	Bacteroidales: 0.97	not classified	not classified	not classified
k99_10360	classified	based on 8/8 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 1.00	not classified
k99_103833	classified	based on 7/7 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;0.80;0.80	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 0.80	Bacteroidales: 0.80	not classified	not classified	not classified
k99_103939	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Rikenellaceae: 1.00	Alistipes: 1.00	not classified
k99_104072	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;1853231;283168;626933	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.59;0.59;0.59	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Odoribacteraceae: 0.59	Odoribacter: 0.59	Odoribacter laneus: 0.59
k99_104122	classified	based on 8/8 ORFs	1;131567;2;1783272;1239;186801;186802;541000;292632;2685293	1.00;0.90;0.90;0.90;0.90;0.90;0.90;0.90;0.90;0.90	Bacteria: 0.90	Firmicutes: 0.90	Clostridia: 0.90	Clostridiales: 0.90	Ruminococcaceae: 0.90	Subdoligranulum: 0.90	not classified
k99_104256	classified	based on 6/6 ORFs	1	1.00	not classified	not classified	not classified	not classified	not classified	not classified	not classified
k99_104416	classified	based on 3/3 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Bacteroidaceae: 1.00	Bacteroides: 1.00	not classified
k99_104544	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_104571	classified	based on 3/3 ORFs	1;131567;2;1783270;68336;976;200643;171549;2005525;375288	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.86;0.86	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Tannerellaceae: 0.86	Parabacteroides: 0.86	not classified
k99_104625	classified	based on 12/12 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria: 1.00	not classified	not classified	not classified	not classified	not classified	not classified
k99_104696	classified	based on 6/6 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_104814	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 1.00	not classified
