quantity,scale..
assessment_diet_freq_alcohol_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_breakfast_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_cruciferous_vegetables_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_snacking_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_fresh_fruit_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_raw_vegetables_salad_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_soft_drinks_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_water_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_beans_legumes_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_breakfast_cereal_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_caffeinated_beverages_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_cheese_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_cook_home_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_cooked_green_vegetables_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_cooked_root_vegetables_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_eating_out_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_eggs_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
