ko_term,group,EC,bigg_reaction,description,CAZy,KEGG_Pathway,BRITE,name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,variable,coef,n_eff,i.EC,i.bigg_reaction,i.description,i.CAZy,i.KEGG_Pathway,i.BRITE,i.name,i.baseMean,i.log2FoldChange,i.lfcSE,i.stat,i.pvalue,i.padj,i.variable,i.coef,i.n_eff,t
ko:K00176,respiration,"1.2.7.3,1.97.1.9,1.18.1.2,1.19.1.1,1.2.7.1,1.3.7.1,1.6.5.3,4.1.1.79","iJN678.nifJ,iLF82_1304.LF82_2789,iNRG857_1313.NRG857_06920","Domain of unknown function (DUF362),Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster,electron transport complex, RnfABCDGE type, B subunit,Putative Fe-S cluster,4fe-4S ferredoxin, iron-sulfur binding domain protein,binding domain protein,4Fe-4S dicluster domain,PFAM aldo keto reductase,Selenate reductase,PFAM 4Fe-4S ferredoxin,TIGRFAM dipicolinic acid synthetase,Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin,PFAM 4Fe-4S,4Fe-4S binding domain,4 iron, 4 sulfur cluster binding,PFAM 4Fe-4S ferredoxin iron-sulfur binding domain protein,dihydromethanopterin reductase activity,Fe-S center protein,Psort location Cytoplasmic, score","","ko00020,ko00720,ko01100,ko01120,ko01200,map00020,map00720,map01100,map01120,map01200,ko00450,map00450,ko00010,ko00620,ko00650,ko00760,ko01130,map00010,map00620,map00650,map00760,map01130,ko00190,map00190,ko00633,ko00640,ko00680,map00633,map00640,map00680","br01601,ko00000,ko00001,ko00002,ko01000,ko00194","korD,gltD,rnfB,nifJ,vorC,spoVFB,vorD,oorD",212.902561457068,-0.996553569338694,0.315682163373899,11.7598008632611,0.000605237011037,0.047950390293736,subset,subset_weight.loss_vs_no.weight.loss,10,"1.2.7.3,1.97.1.9,1.18.1.2,1.19.1.1,1.2.7.1,1.3.7.1,1.6.5.3,4.1.1.79","iJN678.nifJ,iLF82_1304.LF82_2789,iNRG857_1313.NRG857_06920","Domain of unknown function (DUF362),Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster,electron transport complex, RnfABCDGE type, B subunit,Putative Fe-S cluster,4fe-4S ferredoxin, iron-sulfur binding domain protein,binding domain protein,4Fe-4S dicluster domain,PFAM aldo keto reductase,Selenate reductase,PFAM 4Fe-4S ferredoxin,TIGRFAM dipicolinic acid synthetase,Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin,PFAM 4Fe-4S,4Fe-4S binding domain,4 iron, 4 sulfur cluster binding,PFAM 4Fe-4S ferredoxin iron-sulfur binding domain protein,dihydromethanopterin reductase activity,Fe-S center protein,Psort location Cytoplasmic, score","","ko00020,ko00720,ko01100,ko01120,ko01200,map00020,map00720,map01100,map01120,map01200,ko00450,map00450,ko00010,ko00620,ko00650,ko00760,ko01130,map00010,map00620,map00650,map00760,map01130,ko00190,map00190,ko00633,ko00640,ko00680,map00633,map00640,map00680","br01601,ko00000,ko00001,ko00002,ko01000,ko00194","korD,gltD,rnfB,nifJ,vorC,spoVFB,vorD,oorD",212.902561457068,-0.996553569338694,0.315682163373899,11.7598008632611,0.000605237011036567,0.0479503902937358,subset,subset_weight.loss_vs_no.weight.loss,10,-3.15682570940303
ko:K00294,amino acid metabolism,"1.2.1.88,1.5.5.2,1.3.8.7","iAF987.Gmet_3512,iYO844.BSU37780,iPC815.YPO1851,iSbBS512_1146.SbBS512_E2304","Belongs to the aldehyde dehydrogenase family,Oxidizes proline to glutamate for use as a carbon and nitrogen source,1-pyrroline-5-carboxylate dehydrogenase,Aldehyde dehydrogenase family","","ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130,ko00071,ko00280,ko00410,ko00640,ko01200,ko01212,ko03320,map00071,map00280,map00410,map00640,map01200,map01212,map03320","ko00000,ko00001,ko01000,ko03000,ko00002","rocA,putA,pruA",49.3491506347797,-2.44119122819779,0.761735804914865,13.005324743583,0.000310606471318,0.038676991270098,subset,subset_weight.loss_vs_no.weight.loss,10,"1.2.1.88,1.5.5.2,1.3.8.7","iAF987.Gmet_3512,iYO844.BSU37780,iPC815.YPO1851,iSbBS512_1146.SbBS512_E2304","Belongs to the aldehyde dehydrogenase family,Oxidizes proline to glutamate for use as a carbon and nitrogen source,1-pyrroline-5-carboxylate dehydrogenase,Aldehyde dehydrogenase family","","ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130,ko00071,ko00280,ko00410,ko00640,ko01200,ko01212,ko03320,map00071,map00280,map00410,map00640,map01200,map01212,map03320","ko00000,ko00001,ko01000,ko03000,ko00002","rocA,putA,pruA",49.3491506347797,-2.44119122819779,0.761735804914865,13.005324743583,0.000310606471317854,0.0386769912700984,subset,subset_weight.loss_vs_no.weight.loss,10,-3.20477416506714
ko:K00342,respiration,1.6.5.3,"iJN678.ndhD2,iLJ478.TM1212","NDH-1 shuttles electrons from NAD(P)H, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient,proton-translocating NADH-quinone oxidoreductase, chain M,PFAM NADH Ubiquinone plastoquinone (complex I),NADH dehydrogenase,Proton-conducting membrane transporter,NADH dehydrogenase I subunit 4,PFAM NADH Ubiquinone plastoquinone","","ko00190,ko01100,map00190,map01100","ko00000,ko00001,ko00002,ko01000","nuoM,ndhD",224.868900776704,-1.14999953908939,0.34014045836907,13.1850961899514,0.000282184330208,0.038676991270098,subset,subset_weight.loss_vs_no.weight.loss,10,1.6.5.3,"iJN678.ndhD2,iLJ478.TM1212","NDH-1 shuttles electrons from NAD(P)H, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient,proton-translocating NADH-quinone oxidoreductase, chain M,PFAM NADH Ubiquinone plastoquinone (complex I),NADH dehydrogenase,Proton-conducting membrane transporter,NADH dehydrogenase I subunit 4,PFAM NADH Ubiquinone plastoquinone","","ko00190,ko01100,map00190,map01100","ko00000,ko00001,ko00002,ko01000","nuoM,ndhD",224.868900776704,-1.14999953908939,0.34014045836907,13.1850961899514,0.000282184330208309,0.0386769912700984,subset,subset_weight.loss_vs_no.weight.loss,10,-3.3809548696544
ko:K00459,nitrogen metabolism,"1.13.12.16,1.3.1.9,1.1.1.205","","2-nitropropane dioxygenase,PFAM 2-nitropropane dioxygenase NPD,Nitronate monooxygenase,Psort location Cytoplasmic, score 8.87,2-Nitropropane dioxygenase,Oxidoreductase 2-nitropropane dioxygenase family protein, score","","ko00061,ko00910,ko01100,ko01212,map00061,map00910,map01100,map01212,ko00230,ko00983,ko01110,map00230,map00983,map01110","ko00000,ko00001,ko00002,ko01000,ko01004,ko04147","npd,MA20_15180,ycf23,yrpB",113.663326841639,-1.12720519627706,0.296016504049093,15.6873294805036,7.47230629302939e-05,0.02713177989777,subset,subset_weight.loss_vs_no.weight.loss,10,"1.13.12.16,1.3.1.9,1.1.1.205","","2-nitropropane dioxygenase,PFAM 2-nitropropane dioxygenase NPD,Nitronate monooxygenase,Psort location Cytoplasmic, score 8.87,2-Nitropropane dioxygenase,Oxidoreductase 2-nitropropane dioxygenase family protein, score","","ko00061,ko00910,ko01100,ko01212,map00061,map00910,map01100,map01212,ko00230,ko00983,ko01110,map00230,map00983,map01110","ko00000,ko00001,ko00002,ko01000,ko01004,ko04147","npd,MA20_15180,ycf23,yrpB",113.663326841639,-1.12720519627706,0.296016504049093,15.6873294805036,7.47230629302939e-05,0.0271317798977703,subset,subset_weight.loss_vs_no.weight.loss,10,-3.80791334556845
ko:K00689,carbohydrate metabolism,"2.4.1.5,3.1.26.12,3.6.4.13","","Listeria-Bacteroides repeat domain (List_Bact_rpt),dextransucrase activity,COG4632 Exopolysaccharide biosynthesis protein related to N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,KxYKxGKxW signal domain protein,domain, Protein,response regulator receiver,Beta-L-arabinofuranosidase, GH127",GH13,"ko00500,ko02020,ko02024,ko03018,map00500,map02020,map02024,map03018","ko00000,ko00001,ko00002,ko01000,ko03009,ko03012,ko03019,ko03029,ko02000","rne,gtfC,tagL",62.1891871665237,-1.71949283534781,0.441547647660723,18.2885124517862,1.89848557119917e-05,0.015542268542884,subset,subset_weight.loss_vs_no.weight.loss,10,"2.4.1.5,3.1.26.12,3.6.4.13","","Listeria-Bacteroides repeat domain (List_Bact_rpt),dextransucrase activity,COG4632 Exopolysaccharide biosynthesis protein related to N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,KxYKxGKxW signal domain protein,domain, Protein,response regulator receiver,Beta-L-arabinofuranosidase, GH127",GH13,"ko00500,ko02020,ko02024,ko03018,map00500,map02020,map02024,map03018","ko00000,ko00001,ko00002,ko01000,ko03009,ko03012,ko03019,ko03029,ko02000","rne,gtfC,tagL",62.1891871665237,-1.71949283534781,0.441547647660723,18.2885124517862,1.89848557119917e-05,0.0155422685428839,subset,subset_weight.loss_vs_no.weight.loss,10,-3.89424073360489
ko:K01048,phospholipid metabolism,3.1.1.5,"iETEC_1333.ETEC_4102,iEcHS_1320.EcHS_A4049","Serine aminopeptidase, S33,Alpha beta,Psort location Cytoplasmic, score 8.87,alpha/beta hydrolase fold,Hydrolase, alpha beta domain protein,Alpha/beta hydrolase family,Lysophospholipase L2,PFAM Alpha Beta hydrolase,Pfam:DUF2305,Alpha beta hydrolase","","ko00564,map00564","ko00000,ko00001,ko01000",pldB,88.1336486920307,-1.33171078269025,0.409479141251042,13.5788720316124,0.000228745649277,0.038676991270098,subset,subset_weight.loss_vs_no.weight.loss,10,3.1.1.5,"iETEC_1333.ETEC_4102,iEcHS_1320.EcHS_A4049","Serine aminopeptidase, S33,Alpha beta,Psort location Cytoplasmic, score 8.87,alpha/beta hydrolase fold,Hydrolase, alpha beta domain protein,Alpha/beta hydrolase family,Lysophospholipase L2,PFAM Alpha Beta hydrolase,Pfam:DUF2305,Alpha beta hydrolase","","ko00564,map00564","ko00000,ko00001,ko01000",pldB,88.1336486920307,-1.33171078269025,0.409479141251042,13.5788720316124,0.000228745649277157,0.0386769912700984,subset,subset_weight.loss_vs_no.weight.loss,10,-3.25220664139716
ko:K01262,amino acid metabolism,"3.4.11.9,3.4.13.9","","xaa-pro dipeptidase K01271,Xaa-Pro aminopeptidase,Aminopeptidase P, N-terminal domain,Psort location Cytoplasmic, score 8.87,Belongs to the peptidase M24B family, score,COG0006 Xaa-Pro aminopeptidase,Creatinase/Prolidase N-terminal domain,PFAM peptidase M24,peptidase M24,creatinase,C-terminal region of peptidase_M24,proline dipeptidase activity,Metallopeptidase family M24,aminopeptidase,Peptidase M24 family,Splits dipeptides with a prolyl residue in the C- terminal position,peptidase,metalloexopeptidase activity,Xaa-Pro dipeptidase","","","ko00000,ko01000,ko01002,ko00002,ko02000","pepQ,pepP,yqhT",512.524968674234,-0.603996427030266,0.167399099351587,13.0169421719016,0.000308685453094,0.038676991270098,subset,subset_weight.loss_vs_no.weight.loss,10,"3.4.11.9,3.4.13.9","","xaa-pro dipeptidase K01271,Xaa-Pro aminopeptidase,Aminopeptidase P, N-terminal domain,Psort location Cytoplasmic, score 8.87,Belongs to the peptidase M24B family, score,COG0006 Xaa-Pro aminopeptidase,Creatinase/Prolidase N-terminal domain,PFAM peptidase M24,peptidase M24,creatinase,C-terminal region of peptidase_M24,proline dipeptidase activity,Metallopeptidase family M24,aminopeptidase,Peptidase M24 family,Splits dipeptides with a prolyl residue in the C- terminal position,peptidase,metalloexopeptidase activity,Xaa-Pro dipeptidase","","","ko00000,ko01000,ko01002,ko00002,ko02000","pepQ,pepP,yqhT",512.524968674234,-0.603996427030266,0.167399099351587,13.0169421719016,0.000308685453094254,0.0386769912700984,subset,subset_weight.loss_vs_no.weight.loss,10,-3.60812232186325
ko:K01541,transporters,"3.6.3.10,3.6.3.4","","Psort location CytoplasmicMembrane, score,E1-E2 ATPase,heavy metal translocating P-type ATPase,COG COG2217 Cation transport ATPase,haloacid dehalogenase-like hydrolase,Heavy metal translocating P-type ATPase","","ko00190,map00190","ko00000,ko00001,ko01000",ctpC,352.827768522119,-0.879759679331185,0.240155677827955,15.2793827058088,9.27230495223233e-05,0.02713177989777,subset,subset_weight.loss_vs_no.weight.loss,10,"3.6.3.10,3.6.3.4","","Psort location CytoplasmicMembrane, score,E1-E2 ATPase,heavy metal translocating P-type ATPase,COG COG2217 Cation transport ATPase,haloacid dehalogenase-like hydrolase,Heavy metal translocating P-type ATPase","","ko00190,map00190","ko00000,ko00001,ko01000",ctpC,352.827768522119,-0.879759679331185,0.240155677827955,15.2793827058088,9.27230495223233e-05,0.0271317798977703,subset,subset_weight.loss_vs_no.weight.loss,10,-3.66328911016393
ko:K01658,amino acid metabolism,"2.4.2.18,2.6.1.85,4.1.3.27","iHN637.CLJU_RS17720,iSB619.SA_RS03805,iAF987.Gmet_2495,iIT341.HP1281,iJN746.PP_0421,iSBO_1134.SBO_1803,iSbBS512_1146.SbBS512_E1488,iYL1228.KPN_01256,iAPECO1_1312.APECO1_3095,iEC042_1314.EC042_3623,iECABU_c1320.ECABU_c37840,iECED1_1282.ECED1_4024,iECNA114_1301.ECNA114_3463,iECOK1_1307.ECOK1_3780,iECP_1309.ECP_3451,iECS88_1305.ECS88_3751,iECSF_1327.ECSF_3187,iLF82_1304.LF82_1586,iNRG857_1313.NRG857_16660,iUMN146_1321.UM146_16880,iUTI89_1310.UTI89_C3863,ic_1306.c4135,iAF692.Mbar_A3627","Glutamine amidotransferase of anthranilate synthase,Glutamine amidotransferase class-I,Glutamine amidotransferase, class I,Peptidase C26,peptidase C26,TIGRFAM glutamine amidotransferase of anthranilate synthase,Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA),Psort location Cytoplasmic, score 8.87,glutamine amidotransferase,Part of a heterodimeric complex that catalyzes the two- step biosynthesis of 4-amino-4-deoxychorismate (ADC), a precursor of p-aminobenzoate (PABA) and tetrahydrofolate. In the first step, a glutamine amidotransferase (PabA) generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by aminodeoxychorismate synthase (PabB) to produce ADC. PabA converts glutamine into glutamate only in the presence of stoichiometric amounts of PabB,synthase","","ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025","ko00000,ko00001,ko00002,ko01000,ko01002","trpG,pabA,trpD",135.278677099062,-1.01064887044319,0.235809899564975,19.3889035522461,1.06624797709591e-05,0.013093525158738,subset,subset_weight.loss_vs_no.weight.loss,10,"2.4.2.18,2.6.1.85,4.1.3.27","iHN637.CLJU_RS17720,iSB619.SA_RS03805,iAF987.Gmet_2495,iIT341.HP1281,iJN746.PP_0421,iSBO_1134.SBO_1803,iSbBS512_1146.SbBS512_E1488,iYL1228.KPN_01256,iAPECO1_1312.APECO1_3095,iEC042_1314.EC042_3623,iECABU_c1320.ECABU_c37840,iECED1_1282.ECED1_4024,iECNA114_1301.ECNA114_3463,iECOK1_1307.ECOK1_3780,iECP_1309.ECP_3451,iECS88_1305.ECS88_3751,iECSF_1327.ECSF_3187,iLF82_1304.LF82_1586,iNRG857_1313.NRG857_16660,iUMN146_1321.UM146_16880,iUTI89_1310.UTI89_C3863,ic_1306.c4135,iAF692.Mbar_A3627","Glutamine amidotransferase of anthranilate synthase,Glutamine amidotransferase class-I,Glutamine amidotransferase, class I,Peptidase C26,peptidase C26,TIGRFAM glutamine amidotransferase of anthranilate synthase,Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA),Psort location Cytoplasmic, score 8.87,glutamine amidotransferase,Part of a heterodimeric complex that catalyzes the two- step biosynthesis of 4-amino-4-deoxychorismate (ADC), a precursor of p-aminobenzoate (PABA) and tetrahydrofolate. In the first step, a glutamine amidotransferase (PabA) generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by aminodeoxychorismate synthase (PabB) to produce ADC. PabA converts glutamine into glutamate only in the presence of stoichiometric amounts of PabB,synthase","","ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025","ko00000,ko00001,ko00002,ko01000,ko01002","trpG,pabA,trpD",135.278677099062,-1.01064887044319,0.235809899564975,19.3889035522461,1.06624797709591e-05,0.0130935251587377,subset,subset_weight.loss_vs_no.weight.loss,10,-4.28586277466572
ko:K01664,amino acid metabolism,"2.4.2.18,2.6.1.85,4.1.3.27","iHN637.CLJU_RS17720,iSB619.SA_RS03805,iAF987.Gmet_2495,iIT341.HP1281,iJN746.PP_0421,iSBO_1134.SBO_1803,iSbBS512_1146.SbBS512_E1488,iYL1228.KPN_01256,iAPECO1_1312.APECO1_3095,iEC042_1314.EC042_3623,iECABU_c1320.ECABU_c37840,iECED1_1282.ECED1_4024,iECNA114_1301.ECNA114_3463,iECOK1_1307.ECOK1_3780,iECP_1309.ECP_3451,iECS88_1305.ECS88_3751,iECSF_1327.ECSF_3187,iLF82_1304.LF82_1586,iNRG857_1313.NRG857_16660,iUMN146_1321.UM146_16880,iUTI89_1310.UTI89_C3863,ic_1306.c4135","Glutamine amidotransferase of anthranilate synthase,Glutamine amidotransferase class-I,Glutamine amidotransferase, class I,Peptidase C26,TIGRFAM glutamine amidotransferase of anthranilate synthase,Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA),Psort location Cytoplasmic, score 8.87,glutamine amidotransferase,para-aminobenzoate synthase glutamine amidotransferase component II,Part of a heterodimeric complex that catalyzes the two- step biosynthesis of 4-amino-4-deoxychorismate (ADC), a precursor of p-aminobenzoate (PABA) and tetrahydrofolate. In the first step, a glutamine amidotransferase (PabA) generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by aminodeoxychorismate synthase (PabB) to produce ADC. PabA converts glutamine into glutamate only in the presence of stoichiometric amounts of PabB","","ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025","ko00000,ko00001,ko00002,ko01000","trpG,pabA,trpD",116.95679481937,-0.979851862227982,0.280793268196205,12.5097742611327,0.000404828514409,0.038965906512159,subset,subset_weight.loss_vs_no.weight.loss,10,"2.4.2.18,2.6.1.85,4.1.3.27","iHN637.CLJU_RS17720,iSB619.SA_RS03805,iAF987.Gmet_2495,iIT341.HP1281,iJN746.PP_0421,iSBO_1134.SBO_1803,iSbBS512_1146.SbBS512_E1488,iYL1228.KPN_01256,iAPECO1_1312.APECO1_3095,iEC042_1314.EC042_3623,iECABU_c1320.ECABU_c37840,iECED1_1282.ECED1_4024,iECNA114_1301.ECNA114_3463,iECOK1_1307.ECOK1_3780,iECP_1309.ECP_3451,iECS88_1305.ECS88_3751,iECSF_1327.ECSF_3187,iLF82_1304.LF82_1586,iNRG857_1313.NRG857_16660,iUMN146_1321.UM146_16880,iUTI89_1310.UTI89_C3863,ic_1306.c4135","Glutamine amidotransferase of anthranilate synthase,Glutamine amidotransferase class-I,Glutamine amidotransferase, class I,Peptidase C26,TIGRFAM glutamine amidotransferase of anthranilate synthase,Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA),Psort location Cytoplasmic, score 8.87,glutamine amidotransferase,para-aminobenzoate synthase glutamine amidotransferase component II,Part of a heterodimeric complex that catalyzes the two- step biosynthesis of 4-amino-4-deoxychorismate (ADC), a precursor of p-aminobenzoate (PABA) and tetrahydrofolate. In the first step, a glutamine amidotransferase (PabA) generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by aminodeoxychorismate synthase (PabB) to produce ADC. PabA converts glutamine into glutamate only in the presence of stoichiometric amounts of PabB","","ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025","ko00000,ko00001,ko00002,ko01000","trpG,pabA,trpD",116.95679481937,-0.979851862227982,0.280793268196205,12.5097742611327,0.000404828514409318,0.0389659065121588,subset,subset_weight.loss_vs_no.weight.loss,10,-3.48958459197572
